1317402965.6403520,0.0000000,0.0000000
1317402965.7403100,0.1234268,-0.0302483
1317402965.8506100,0.2769429,-0.0700215
1317402965.9503620,0.4339805,-0.1149642
1317402966.0503321,0.6021142,-0.1696271
1317402966.1603279,0.7995898,-0.2434659
1317402966.2603400,0.9888888,-0.3260233
1317402966.3704021,1.2096846,-0.4271536
1317402966.4703691,1.4203439,-0.5301377
1317402966.5803270,1.6531089,-0.6659270
1317402966.6803000,1.8617676,-0.8147175
1317402966.7803340,2.0751221,-0.9746391
1317402966.8904450,2.3141369,-1.1677831
1317402966.9903181,2.5285454,-1.3655704
1317402967.1003201,2.7592110,-1.6086225
1317402967.2002859,2.9617854,-1.8507877
1317402967.3002789,3.1573499,-2.1166086
1317402967.4104650,3.3653866,-2.4373231
1317402967.5102830,3.5482239,-2.7531691
1317402967.6203120,3.7416204,-3.1283018
1317402967.7202590,3.9040254,-3.4973656
1317402967.8202910,4.0505973,-3.8943101
1317402967.9304321,4.1978752,-4.3610404
1317402968.0303199,4.3195129,-4.8124681
1317402968.1302819,4.4273928,-5.2883810
1317402968.2403231,4.5252920,-5.8429803
1317402968.3403001,4.5974064,-6.3723021
1317402968.4403241,4.6573498,-6.9270146
1317402968.5503299,4.7093246,-7.5646587
1317402968.6502659,4.7433641,-8.1686075
1317402968.7602870,4.7720561,-8.8583065
1317402968.8604801,4.7941820,-9.5088952
1317402968.9603181,4.8109203,-10.1808013
1317402969.0702479,4.8201748,-10.9429750
1317402969.1702781,4.8206315,-11.6571820
1317402969.2703900,4.8139045,-12.3884362
1317402969.3804190,4.7971383,-13.2121058
1317402969.4802570,4.7741909,-13.9737534
1317402969.5802369,4.7449202,-14.7444077
1317402969.6902730,4.7011470,-15.5974018
1317402969.7902429,4.6510681,-16.3770711
1317402969.9003870,4.5846097,-17.2379778
1317402970.0002520,4.5127514,-18.0238994
1317402970.1002560,4.4283850,-18.8136547
1317402970.2102189,4.3205831,-19.6849039
1317402970.3102300,4.2080681,-20.4808562
1317402970.4104691,4.0777021,-21.2776879
1317402970.5202169,3.9041305,-22.1527732
1317402970.6202779,3.7189673,-22.9454575
1317402970.7302339,3.4825984,-23.8120754
1317402970.8302300,3.2412513,-24.5946913
1317402970.9303391,2.9753453,-25.3713019
1317402971.0402479,2.6517810,-26.2158814
1317402971.1401801,2.3293340,-26.9730627
1317402971.2502899,1.9467255,-27.7949463
1317402971.3504930,1.5746210,-28.5312264
1317402971.4502470,1.1760464,-29.2578279
